%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z,
1.58802269957215E+018,152.395954857,1128.15202676,-2.1216505238,-0.0096135267,0.0008451119,1.3684733749,7.645922048
1.58802269962257E+018,152.395871256,1128.15201449,-2.1216485541,-0.0136354519,0.0008387205,1.364160271,7.696338944
1.58802269967398E+018,152.39583277,1128.15184606,-2.1216476582,-0.0169955534,0.0008589469,1.3557167736,7.74774784
1.58802269972212E+018,152.395290695,1128.15184449,-2.1216471952,-0.0194715234,0.0015039768,1.3433660173,7.79588864
1.58802269977233E+018,152.394990663,1128.15195581,-2.1216432384,-0.0217166406,0.0013665907,1.3144252922,7.846102016
1.58802269982358E+018,152.394825191,1128.1522242,-2.1216418399,-0.0225052153,0.0010690799,1.2889559517,7.897351168
1.5880226998713E+018,152.394737177,1128.15255813,-2.1216427924,-0.0227060865,0.00078054,1.263609403,7.945070848
1.58802269992293E+018,152.394163432,1128.15292562,-2.1216449753,-0.0226262259,0.0011450254,1.2371435704,7.996704768
1.58802269997247E+018,152.393842518,1128.15355328,-2.121643821,-0.0217492041,0.0006749627,1.1900202896,8.04623744
1.58802270002198E+018,152.393663089,1128.1542113,-2.1216456118,-0.0207709404,0.0002110425,1.1520376368,8.095753728
1.58802270007195E+018,152.393566765,1128.15482732,-2.1216490076,-0.0194778998,-0.0001343579,1.1163760483,8.145724416
1.58802270012275E+018,152.392990922,1128.15539813,-2.1216525915,-0.0159699492,0.0002110509,1.056248904,8.196517376
1.58802270017408E+018,152.392669174,1128.15608045,-2.1216521742,-0.0126458874,-2.32047163294E-05,1.0081599977,8.247849472
1.58802270022332E+018,152.392495712,1128.15675128,-2.1216529448,-0.009415473,-0.000275925,0.9634696172,8.297092864
1.58802270027549E+018,152.392406645,1128.15739181,-2.1216545679,-0.0060465891,-0.0004325726,0.9189065336,8.349264128
1.58802270031891E+018,152.392364767,1128.15801008,-2.1216562313,-0.0001058769,-0.0004704422,0.8435807288,8.392682496
1.5880227003679E+018,152.392347344,1128.1590292,-2.1216573296,0.0047799685,-0.0004452353,0.7851475596,8.441672448
1.58802270041717E+018,152.391815797,1128.15994164,-2.121657888,0.0084729763,0.0002384731,0.7327000218,8.490938368
1.5880227004683E+018,152.391521045,1128.16075733,-2.1216543353,0.0116010879,0.0002098659,0.6823151684,8.542068736
1.58802270052309E+018,152.391362072,1128.16150442,-2.121652768,0.0161988687,0.0001169669,0.6013537762,8.596864512
1.58802270057648E+018,152.391279667,1128.16239036,-2.1216528292,0.0192670568,4.08114786832E-05,0.5398179841,8.650250752
