%time,field.throttle_bow,field.position_bow,field.lin_act_bow,
1.58802278291269E+018,58.138255523,90,2,90.859132672
1.58802278314659E+018,63.4582223157,90,2,91.093026304
1.58802278341525E+018,59.5925828573,90,2,91.361687296
1.58802278364032E+018,66.1196202433,90,2,91.586761472
1.58802278392264E+018,61.3125507755,90,2,91.869077504
1.58802278414565E+018,68.1051732099,90,2,92.092091136
1.58802278442448E+018,61.9736489605,90,2,92.370921472
1.58802278472475E+018,62.4919915859,90,2,92.671191808
1.58802278494368E+018,69.8248719798,90,2,92.890123008
1.58802278522691E+018,59.6307691886,90,2,93.173351168
1.58802278554347E+018,58.9079911289,90,2,93.489908224
1.58802278581453E+018,58.2106901461,90,2,93.760974848
1.58802278604009E+018,70.5195244767,90,2,93.986527744
1.58802278631871E+018,58.4168402825,90,2,94.265150208
1.58802278654435E+018,71.1366974552,90,2,94.4907904
1.58802278682069E+018,58.6334679602,90,2,94.767131392
1.5880227870352E+018,71.5667280516,90,2,94.981637376
1.58802278731326E+018,58.6984792239,90,2,95.259700736
1.58802278755562E+018,71.9662532774,90,2,95.502060032
1.58802278782326E+018,58.4624224081,90,2,95.769700608
1.58802278805301E+018,72.1687554422,90,2,95.9994496
1.58802278832258E+018,57.4963373957,90,2,96.269019392
1.58802278854698E+018,72.0266005399,90,2,96.493419008
1.58802278882237E+018,56.4248646651,90,2,96.768805632
1.58802278905125E+018,71.8142471734,90,2,96.997688832
1.58802278933605E+018,55.4786861052,90,2,97.282489344
1.58802278957757E+018,71.547340316,90,2,97.524014592
1.58802278981595E+018,54.2097140144,90,2,97.762385152
1.588022790033E+018,71.0522366833,90,2,97.979438336
1.5880227902537E+018,70.8069201973,90,2,98.200135936
1.58802279050878E+018,52.0351033465,90,2,98.455218176
1.58802279080551E+018,51.4935195286,90,2,98.751946496
1.58802279101344E+018,69.7349079649,90,2,98.95988224
1.5880227913091E+018,49.131146328,90,2,99.255537408
1.58802279152402E+018,68.7148813381,90,2,99.470464512
1.58802279182608E+018,47.8072391731,90,2,99.772522496
1.58802279210977E+018,46.5601106422,90,2,100.056213248
1.58802279240346E+018,44.9324319635,90,2,100.349899264
1.58802279261063E+018,65.921628573,90,2,100.55707136
1.58802279290422E+018,42.0361006158,90,2,100.85065728
1.58802279311704E+018,64.3496078453,90,2,101.063482368
1.58802279333225E+018,63.7305904468,90,2,101.278685184
1.58802279361292E+018,38.9779223035,90,2,101.559364352
1.58802279382684E+018,61.9782970075,90,2,101.77327616
1.58802279411397E+018,37.668895967,90,2,102.060407296
1.588022794337E+018,60.1987297415,90,2,102.283436544
1.58802279461709E+018,35.4825888496,90,2,102.563534336
1.5880227948425E+018,57.9807787421,90,2,102.788939008
1.58802279511625E+018,33.5282904681,90,2,103.0626944
1.58802279533932E+018,55.4180988294,90,2,103.285764352
1.58802279561404E+018,31.9428441511,90,2,103.560483328
1.58802279583914E+018,52.6732759742,90,2,103.785577472
1.5880227961108E+018,27.3329887642,90,2,104.057242112
1.58802279634097E+018,48.8715462613,90,2,104.287414784
1.58802279661556E+018,23.5962830105,90,2,104.562002944
1.58802279684322E+018,44.9071651016,90,2,104.789659136
