%time,field.star_effort,field.port_effort,
1.58764324696153E+018,-72.9491645417,-85.3081957943,69.96822016
1.58764324731558E+018,-79.638839077,-87.4402989574,70.322272512
1.58764324733173E+018,-79.638839077,-87.4402989574,70.338420224
1.58764324771241E+018,-82.5021242987,-89.7324250066,70.719100416
1.58764324771894E+018,-90.5218014701,-96.2250448648,70.725630976
1.58764324795924E+018,-81.178911209,-88.0185118411,70.965928192
1.58764324830504E+018,-81.536766698,-87.6037263404,71.311729152
1.58764324838176E+018,-81.536766698,-87.6037263404,71.3884544
1.58764324865224E+018,-87.024780012,-88.6085688635,71.65892608
1.58764324869095E+018,-77.2624006042,-81.9155836177,71.697643776
1.5876432489516E+018,-81.5580489364,-82.3716431781,71.958289408
1.58764324898814E+018,-71.3951226362,-75.6289507305,71.994829824
1.58764324924419E+018,-76.9932711886,-77.5657726699,72.250877952
1.58764324932977E+018,-61.2296442502,-65.4041985966,72.336461568
1.58764324976585E+018,-45.3384660315,-49.252993231,72.77253632
1.58764324977695E+018,-72.5221251322,-72.490894156,72.783638272
1.58764325007045E+018,-58.3747101221,-58.3359056129,73.077138432
1.58764325010546E+018,-74.8020736111,-71.8167104572,73.112146688
1.58764325036665E+018,-61.1841349097,-63.261257611,73.373343232
1.58764325068128E+018,-43.4930628123,-46.3695467162,73.687970048
1.58764325071357E+018,-73.7420792948,-71.5088814511,73.720257536
1.58764325096286E+018,-59.8835737649,-63.6469856951,73.969550592
1.58764325123331E+018,-73.5813015557,-72.084451983,74.239995136
1.58764325152777E+018,-67.8976431723,-67.3037203277,74.534459392
1.58764325182873E+018,-58.9016216192,-58.7018827656,74.835415296
1.58764325212677E+018,-52.3003187011,-52.4652429959,75.13345792
1.5876432523493E+018,-29.7232482139,-44.7517095949,75.355994112
1.58764325266472E+018,-45.791579106,-46.3589145669,75.6714112
1.58764325269089E+018,-4.7856346705,-48.046072862,75.697574912
1.58764325295147E+018,-41.8872398045,-48.5134885635,75.95816448
1.58764325296835E+018,-5.9223805906,-48.2911133343,75.97504
1.58764325322634E+018,-42.5666586253,-50.2507722155,76.233031936
1.58764325345906E+018,-26.1747588587,-54.3608974127,76.465747712
1.58764325374802E+018,-36.1787877544,-49.4223734896,76.754707712
1.58764325378217E+018,-27.6988801365,-57.3805290095,76.788864256
1.58764325403098E+018,-40.5217972815,-51.5978160071,77.037671168
1.58764325432551E+018,-28.9965279032,-48.8545841219,77.332201984
1.58764325455355E+018,-4.1594142659,-52.9711345432,77.560235776
1.58764325486052E+018,-25.8684683296,-47.8145750828,77.867209472
1.58764325489329E+018,-12.3185875603,-55.7064073374,77.899977728
1.58764325513132E+018,-31.4526990146,-48.8690007296,78.138014208
1.58764325523236E+018,-23.2478465304,-55.2592380617,78.239047168
1.58764325554187E+018,-28.7285668119,-47.9171033701,78.548557312
1.58764325559741E+018,-33.9664011498,-63.8384925235,78.604101376
1.58764325582757E+018,-40.6227893059,-54.1907973037,78.834259968
1.58764325612022E+018,-24.919748342,-46.5764314161,79.126905344
1.58764325638806E+018,4.9715490521,-53.7752597945,79.394752256
1.58764325668683E+018,-22.8803054201,-42.0071192229,79.693516032
1.58764325672415E+018,-23.0016036435,-60.7287510981,79.7308416
1.58764325695585E+018,-45.6769129284,-70.9188110872,79.962542848
1.58764325738287E+018,-36.8083943912,-56.3704346206,80.389559552
1.58764325745767E+018,-62.7553442487,-82.9537861108,80.4643584
1.58764325796522E+018,-56.5742726533,-73.3001753994,80.971907328
1.58764325815061E+018,-56.5742726533,-73.3001753994,81.157296128
1.5876432584399E+018,-36.7259645809,-59.3385529123,81.446587904
1.58764325846878E+018,-36.7259645809,-59.3385529123,81.47547136
1.58764325871262E+018,-28.3878975453,-47.9064461544,81.719305472
1.58764325896275E+018,-14.657137566,-49.2304406435,81.969442304
1.58764325930503E+018,-24.128194698,-46.9592831337,82.31171584
